question,sql
Show all orders ordered by order_id,SELECT * FROM orders ORDER BY order_id;
Find average name in employees,SELECT AVG(name) FROM employees;
Show name from customers where city > 100,SELECT name FROM customers WHERE city > 100;
Show all customers ordered by age,SELECT * FROM customers ORDER BY age;
Find minimum customer_id in orders,SELECT MIN(customer_id) FROM orders;
Find average salary in employees,SELECT AVG(salary) FROM employees;
List all name from students,SELECT name FROM students;
Show salary from employees where id = 80,SELECT salary FROM employees WHERE id = 80;
Find maximum membership in customers,SELECT MAX(membership) FROM customers;
Show all customers,SELECT * FROM customers;
Find all records in products where stock <= 70,SELECT * FROM products WHERE stock <= 70;
Show all customers,SELECT * FROM customers;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Find minimum product_id in products,SELECT MIN(product_id) FROM products;
Find minimum order_id in orders,SELECT MIN(order_id) FROM orders;
List all age from employees,SELECT age FROM employees;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Show age from customers where customer_id >= 80,SELECT age FROM customers WHERE customer_id >= 80;
Find average category in products,SELECT AVG(category) FROM products;
Find minimum id in students,SELECT MIN(id) FROM students;
Count all rows in students,SELECT COUNT(*) FROM students;
Find maximum customer_id in customers,SELECT MAX(customer_id) FROM customers;
Find minimum customer_id in customers,SELECT MIN(customer_id) FROM customers;
Find all records in products where name <= 20,SELECT * FROM products WHERE name <= 20;
Show marks from students where id > 20,SELECT marks FROM students WHERE id > 20;
Count all rows in employees,SELECT COUNT(*) FROM employees;
Show all employees,SELECT * FROM employees;
Show price from products where name >= 70,SELECT price FROM products WHERE name >= 70;
List all name from customers,SELECT name FROM customers;
Find all records in orders where order_id = 90,SELECT * FROM orders WHERE order_id = 90;
Show all employees ordered by age,SELECT * FROM employees ORDER BY age;
Show customer_id from customers where membership = 10,SELECT customer_id FROM customers WHERE membership = 10;
Show all orders ordered by amount,SELECT * FROM orders ORDER BY amount;
Count all rows in employees,SELECT COUNT(*) FROM employees;
Show all employees ordered by age,SELECT * FROM employees ORDER BY age;
Count all rows in products,SELECT COUNT(*) FROM products;
Find average stock in products,SELECT AVG(stock) FROM products;
Show all products ordered by stock,SELECT * FROM products ORDER BY stock;
Show all employees ordered by id,SELECT * FROM employees ORDER BY id;
List all id from students,SELECT id FROM students;
Show all employees,SELECT * FROM employees;
Find average order_id in orders,SELECT AVG(order_id) FROM orders;
Show all orders,SELECT * FROM orders;
Show all students,SELECT * FROM students;
Find average age in employees,SELECT AVG(age) FROM employees;
Show all products,SELECT * FROM products;
Show price from products where name < 40,SELECT price FROM products WHERE name < 40;
Show all orders ordered by amount,SELECT * FROM orders ORDER BY amount;
Show status from orders where customer_id >= 20,SELECT status FROM orders WHERE customer_id >= 20;
Find average customer_id in customers,SELECT AVG(customer_id) FROM customers;
Find average salary in employees,SELECT AVG(salary) FROM employees;
Show id from students where department < 50,SELECT id FROM students WHERE department < 50;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Show name from students where marks >= 30,SELECT name FROM students WHERE marks >= 30;
Find maximum stock in products,SELECT MAX(stock) FROM products;
Show all students ordered by age,SELECT * FROM students ORDER BY age;
Show all orders,SELECT * FROM orders;
Find maximum department in students,SELECT MAX(department) FROM students;
Find minimum name in customers,SELECT MIN(name) FROM customers;
Find maximum customer_id in customers,SELECT MAX(customer_id) FROM customers;
Find minimum name in employees,SELECT MIN(name) FROM employees;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Find maximum age in customers,SELECT MAX(age) FROM customers;
Find all records in employees where salary < 60,SELECT * FROM employees WHERE salary < 60;
Show category from products where category >= 80,SELECT category FROM products WHERE category >= 80;
Find all records in customers where age < 60,SELECT * FROM customers WHERE age < 60;
Show product_id from products where name >= 30,SELECT product_id FROM products WHERE name >= 30;
Find all records in students where marks >= 30,SELECT * FROM students WHERE marks >= 30;
Count all rows in products,SELECT COUNT(*) FROM products;
Find minimum age in employees,SELECT MIN(age) FROM employees;
Count all rows in employees,SELECT COUNT(*) FROM employees;
Find all records in products where category < 70,SELECT * FROM products WHERE category < 70;
Show name from customers where city > 70,SELECT name FROM customers WHERE city > 70;
Find minimum department in students,SELECT MIN(department) FROM students;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Show name from products where category = 20,SELECT name FROM products WHERE category = 20;
List all customer_id from customers,SELECT customer_id FROM customers;
Show all orders ordered by date,SELECT * FROM orders ORDER BY date;
Find minimum name in customers,SELECT MIN(name) FROM customers;
Find maximum name in employees,SELECT MAX(name) FROM employees;
List all age from customers,SELECT age FROM customers;
Show all employees,SELECT * FROM employees;
Find average salary in employees,SELECT AVG(salary) FROM employees;
Find average amount in orders,SELECT AVG(amount) FROM orders;
Find minimum city in customers,SELECT MIN(city) FROM customers;
Show status from orders where customer_id < 50,SELECT status FROM orders WHERE customer_id < 50;
Show all students,SELECT * FROM students;
Find minimum age in customers,SELECT MIN(age) FROM customers;
Show all students ordered by department,SELECT * FROM students ORDER BY department;
Find minimum name in employees,SELECT MIN(name) FROM employees;
List all name from students,SELECT name FROM students;
Find maximum name in students,SELECT MAX(name) FROM students;
Find maximum name in employees,SELECT MAX(name) FROM employees;
Find all records in orders where customer_id > 80,SELECT * FROM orders WHERE customer_id > 80;
Show customer_id from customers where membership > 40,SELECT customer_id FROM customers WHERE membership > 40;
Show all students,SELECT * FROM students;
Show all employees ordered by id,SELECT * FROM employees ORDER BY id;
Find maximum stock in products,SELECT MAX(stock) FROM products;
List all department from students,SELECT department FROM students;
Show all employees ordered by department,SELECT * FROM employees ORDER BY department;
Show stock from products where price <= 60,SELECT stock FROM products WHERE price <= 60;
Count all rows in students,SELECT COUNT(*) FROM students;
Find maximum salary in employees,SELECT MAX(salary) FROM employees;
Find minimum name in employees,SELECT MIN(name) FROM employees;
Find average city in customers,SELECT AVG(city) FROM customers;
Show order_id from orders where customer_id <= 50,SELECT order_id FROM orders WHERE customer_id <= 50;
List all customer_id from customers,SELECT customer_id FROM customers;
Show all orders,SELECT * FROM orders;
Find maximum name in students,SELECT MAX(name) FROM students;
Find maximum name in employees,SELECT MAX(name) FROM employees;
Show all students ordered by name,SELECT * FROM students ORDER BY name;
Find average age in customers,SELECT AVG(age) FROM customers;
Show marks from students where id < 40,SELECT marks FROM students WHERE id < 40;
Show all orders ordered by customer_id,SELECT * FROM orders ORDER BY customer_id;
Show all students,SELECT * FROM students;
Show salary from employees where department = 90,SELECT salary FROM employees WHERE department = 90;
Show all employees,SELECT * FROM employees;
Find all records in employees where department >= 60,SELECT * FROM employees WHERE department >= 60;
Show order_id from orders where date <= 50,SELECT order_id FROM orders WHERE date <= 50;
Show age from customers where customer_id <= 50,SELECT age FROM customers WHERE customer_id <= 50;
Find average date in orders,SELECT AVG(date) FROM orders;
Find average price in products,SELECT AVG(price) FROM products;
Show all orders,SELECT * FROM orders;
Find average amount in orders,SELECT AVG(amount) FROM orders;
Show all orders,SELECT * FROM orders;
Find minimum name in students,SELECT MIN(name) FROM students;
Show all customers ordered by name,SELECT * FROM customers ORDER BY name;
Find maximum category in products,SELECT MAX(category) FROM products;
Find maximum name in employees,SELECT MAX(name) FROM employees;
Count all rows in students,SELECT COUNT(*) FROM students;
Find average date in orders,SELECT AVG(date) FROM orders;
Find minimum name in students,SELECT MIN(name) FROM students;
Find average id in employees,SELECT AVG(id) FROM employees;
Show all orders,SELECT * FROM orders;
Show id from students where marks > 20,SELECT id FROM students WHERE marks > 20;
Find maximum customer_id in customers,SELECT MAX(customer_id) FROM customers;
List all city from customers,SELECT city FROM customers;
Find minimum customer_id in orders,SELECT MIN(customer_id) FROM orders;
Find minimum name in products,SELECT MIN(name) FROM products;
Find minimum category in products,SELECT MIN(category) FROM products;
Find maximum id in students,SELECT MAX(id) FROM students;
List all age from students,SELECT age FROM students;
Show all orders,SELECT * FROM orders;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Find minimum name in students,SELECT MIN(name) FROM students;
Show all products ordered by stock,SELECT * FROM products ORDER BY stock;
Find all records in orders where date < 50,SELECT * FROM orders WHERE date < 50;
Show all orders ordered by amount,SELECT * FROM orders ORDER BY amount;
Find minimum age in customers,SELECT MIN(age) FROM customers;
Find all records in employees where salary = 40,SELECT * FROM employees WHERE salary = 40;
Find average date in orders,SELECT AVG(date) FROM orders;
Find all records in products where name >= 90,SELECT * FROM products WHERE name >= 90;
Find minimum age in students,SELECT MIN(age) FROM students;
Find average name in students,SELECT AVG(name) FROM students;
List all salary from employees,SELECT salary FROM employees;
Find maximum age in customers,SELECT MAX(age) FROM customers;
Find all records in products where category <= 90,SELECT * FROM products WHERE category <= 90;
Find minimum department in employees,SELECT MIN(department) FROM employees;
